Symbol,Price,Type,Strike,"Exp Date",DTE,Bid,Midpoint,Ask,Last,Volume,"Open Int",Vol/OI,IV,Delta,Time
MRK,79.16,Call,80,2021-12-03,7,1.3,1.38,1.46,1.45,1476,306,4.82,42.26%,0.43647,2021-11-26
COF,149.16,Put,129.4,2022-03-18,111,4,4.18,4.35,5,620,129,4.81,36.88%,-0.217088,2021-11-26
AAL,17.75,Call,18.5,2021-12-03,7,0.35,0.36,0.37,0.36,2696,560,4.81,66.86%,0.344352,2021-11-26
GME,199.72,Put,150,2021-12-03,7,0.32,0.39,0.46,0.47,984,205,4.8,114.73%,-0.02996,2021-11-26
COIN,303.19,Call,345,2021-12-03,7,1.1,1.15,1.2,1.15,1269,265,4.79,67.45%,0.090755,2021-11-26
SRG,14.89,Call,12,2022-01-21,56,3.1,3.3,3.5,2.84,987,208,4.75,67.32%,0.829223,2021-11-26
AAL,17.75,Put,18,2021-12-03,7,0.8,0.82,0.84,0.81,7703,1633,4.72,68.67%,-0.539602,2021-11-26
FIS,108.01,Call,115,2022-02-18,84,4.5,4.85,5.2,4.6,655,139,4.71,36.17%,0.385275,2021-11-26
LCID,51.72,Call,51,2021-12-03,7,3.45,3.58,3.7,3.5,2940,625,4.7,110.30%,0.566813,2021-11-26
XPEV,51.11,Call,60,2021-12-03,7,0.35,0.36,0.37,0.37,1227,263,4.67,93.42%,0.120025,2021-11-26
BBBY,20.9,Call,22,2021-12-03,7,0.71,0.75,0.78,0.75,822,177,4.64,103.23%,0.386943,2021-11-26
UPLD,20.21,Put,15,2022-09-16,293,1,1.3,1.6,1.5,502,109,4.61,56.82%,-0.200004,2021-11-26
MRNA,329.63,Put,340,2021-12-03,7,22.6,24.38,26.15,23.93,635,140,4.54,98.92%,-0.5626,2021-11-26
JMIA,13.64,Call,13,2021-12-17,21,1.53,1.58,1.62,1.55,1036,228,4.54,94.58%,0.627598,2021-11-26
GS,389.39,Put,350,2022-01-21,56,6.45,6.73,7,6.98,6551,1443,4.54,36.02%,-0.20935,2021-11-26
TWTR,47.07,Call,48,2021-12-10,14,1.25,1.28,1.31,1.28,1168,259,4.51,45.90%,0.431573,2021-11-26
INO,7.25,Call,8,2021-12-03,7,0.14,0.16,0.18,0.17,1760,391,4.5,106.71%,0.276851,2021-11-26
MRNA,329.63,Call,320,2021-11-26,0,9.25,9.93,10.6,10.25,4957,1103,4.49,52.38%,0.865026,2021-11-26
AMWL,6.68,Call,10,2022-03-18,111,0.25,0.3,0.35,0.3,3062,684,4.48,75.79%,0.224819,2021-11-26
ONON,43.11,Call,45,2022-04-14,138,7.1,7.25,7.4,6.9,685,154,4.45,76.18%,0.556881,2021-11-26
CVAC,44.18,Call,45,2022-01-21,56,5.3,5.5,5.7,6.2,937,211,4.44,85.03%,0.544564,2021-11-26
MRNA,329.63,Call,345,2021-12-03,7,11.9,12.45,13,12.55,1386,312,4.44,103.49%,0.402733,2021-11-26
AMBP,9.61,Call,10,2022-04-14,138,0.45,0.53,0.6,0.6,2785,630,4.42,32.43%,0.460701,2021-11-26
BA,199.21,Call,207.5,2021-12-03,7,1.87,1.92,1.96,1.94,909,206,4.41,44.84%,0.265836,2021-11-26
INTC,48.78,Call,48.5,2021-12-03,7,0.95,0.97,0.99,0.94,737,168,4.39,31.06%,0.557921,2021-11-26
CCL,17.95,Put,20,2022-07-15,230,4.35,4.43,4.5,4.45,5504,1257,4.38,55.97%,-0.508079,2021-11-26
DBX,24.34,Call,27,2021-12-03,7,0.14,0.16,0.18,0.15,2040,467,4.37,66.00%,0.13808,2021-11-26
AFRM,136.98,Call,135,2021-11-26,0,0.8,1.63,2.45,1.7,6956,1591,4.37,42.96%,0.746542,2021-11-26
MRNA,329.63,Call,360,2021-12-03,7,8.55,8.83,9.1,9,1438,330,4.36,109.06%,0.305721,2021-11-26
OXY,29.7,Call,28,2021-12-03,7,2.08,2.13,2.17,2.1,564,130,4.34,65.02%,0.757906,2021-11-26
BAC,45.76,Put,44,2021-12-31,35,1.1,1.13,1.16,1.11,655,151,4.34,33.10%,-0.337047,2021-11-26
ADBE,662.1,Put,670,2021-11-26,0,5.4,8.18,10.95,7.05,1363,315,4.33,45.05%,-0.689721,2021-11-26
TJX,69.36,Call,73,2021-12-03,7,0.12,0.16,0.19,0.14,627,145,4.32,29.24%,0.105817,2021-11-26
AMZN,3504.56,Put,3550,2021-11-26,0,34,41.53,49.05,42.55,7354,1701,4.32,24.41%,-0.843642,2021-11-26
BA,199.21,Call,205,2021-12-03,7,2.61,2.63,2.65,2.65,1071,249,4.3,44.99%,0.334129,2021-11-26
OXY,29.7,Call,29,2021-11-26,0,0.66,0.71,0.75,0.65,1920,447,4.3,25.05%,0.967054,2021-11-26
NWL,22.46,Call,15,2022-01-21,56,7.3,7.45,7.6,7.5,1170,273,4.29,63.69%,0.966195,2021-11-26
FCEL,8.94,Put,8,2021-12-03,7,0.15,0.16,0.17,0.17,621,146,4.25,108.66%,-0.207898,2021-11-26
BA,199.21,Put,190,2021-12-03,7,2.03,2.08,2.13,2.05,2413,569,4.24,50.85%,-0.239576,2021-11-26
SAVE,20.6,Call,20,2023-01-20,420,5.45,5.65,5.85,5.53,9571,2271,4.21,60.97%,0.646696,2021-11-26
CVAC,44.18,Call,45,2021-12-17,21,3.4,3.7,4,3.6,621,148,4.2,93.85%,0.512384,2021-11-26
NVAX,217.97,Call,320,2021-12-17,21,5.85,6.15,6.45,5.8,1535,366,4.19,144.67%,0.17543,2021-11-26
TCOM,27.85,Call,30,2022-03-18,111,2,2.08,2.15,2.13,2696,643,4.19,48.64%,0.443356,2021-11-26
BAC,45.76,Put,45,2022-05-20,174,3.55,3.6,3.65,3.6,706,169,4.18,30.54%,-0.437998,2021-11-26
TCOM,27.85,Put,24,2022-03-18,111,1.25,1.35,1.45,1.27,2676,641,4.17,49.03%,-0.246329,2021-11-26
KO,53.73,Call,54,2021-12-03,7,0.35,0.37,0.39,0.35,1466,354,4.14,16.26%,0.408211,2021-11-26
PTON,46.41,Call,46,2021-11-26,0,0.33,0.43,0.53,0.38,6170,1490,4.14,29.04%,0.724325,2021-11-26
AMZN,3504.56,Put,3530,2021-12-10,14,94.9,99.58,104.25,88.5,554,134,4.13,31.41%,-0.534432,2021-11-26
JPM,161.93,Call,160,2021-12-03,7,3.6,3.73,3.85,4.05,1384,336,4.12,30.23%,0.617607,2021-11-26
AMZN,3504.56,Put,3530,2021-11-26,0,17.35,22.95,28.55,11,3464,854,4.06,16.03%,-0.806285,2021-11-26
DD,76.96,Call,50,2022-01-21,56,26.9,27.13,27.35,26.9,2660,657,4.05,72.47%,0.952182,2021-11-26
ERIC,10.12,Put,8,2024-01-19,784,0.27,0.79,1.3,0.8,1152,285,4.04,30.88%,-0.232183,2021-11-26
AAL,17.75,Put,17.5,2021-12-03,7,0.57,0.59,0.6,0.57,5294,1312,4.04,70.68%,-0.423082,2021-11-26
PFE,54,Put,48,2021-12-31,35,0.28,0.34,0.4,0.32,729,181,4.03,32.44%,-0.115623,2021-11-26
PFE,54,Call,54,2021-12-10,14,1.58,1.66,1.73,1.62,3138,778,4.03,39.06%,0.510149,2021-11-26
DAL,36.38,Call,35,2021-12-17,21,2.55,2.62,2.69,2.6,1150,287,4.01,53.53%,0.642733,2021-11-26
ARQQ,34.85,Call,22.5,2021-12-17,21,11.3,12.35,13.4,12.7,1250,312,4.01,133.33%,0.936775,2021-11-26
MARA,49.2,Put,53,2021-11-26,0,3.45,3.7,3.95,3.8,1137,285,3.99,37.82%,-0.999984,2021-11-26
NVAX,217.97,Call,285,2021-12-03,7,2.3,2.53,2.75,2.6,761,191,3.98,153.37%,0.123791,2021-11-26
STX,98.62,Call,87.5,2024-01-19,784,24,25,26,26.1,800,201,3.98,39.90%,0.653387,2021-11-26
AA,47.95,Put,40,2021-12-17,21,0.5,0.53,0.55,0.54,2945,745,3.95,70.58%,-0.124366,2021-11-26
AMZN,3504.56,Put,3200,2021-12-03,7,3.4,4.05,4.7,3.96,1984,504,3.94,40.11%,-0.047969,2021-11-26
AMZN,3504.56,Put,3515,2021-11-26,0,3.85,8.4,12.95,5.68,1900,483,3.93,8.84%,-0.740531,2021-11-26
NVDA,315.03,Call,347.5,2021-12-03,7,1.15,1.44,1.74,1.35,1593,406,3.92,57.11%,0.114891,2021-11-26
CGNX,76.19,Call,85,2022-02-18,84,2.05,2.38,2.7,2.14,1002,256,3.91,35.48%,0.287518,2021-11-26
OCGN,6.45,Call,8,2021-12-03,7,0.09,0.1,0.1,0.11,1485,381,3.9,140.81%,0.156973,2021-11-26
NVDA,315.03,Call,360,2021-12-03,7,0.5,0.51,0.52,0.54,3262,836,3.9,57.27%,0.050232,2021-11-26
AMZN,3504.56,Put,3520,2021-12-03,7,65.1,69.45,73.8,66.7,760,197,3.86,30.25%,-0.533364,2021-11-26
WKHS,5.79,Call,6,2021-12-03,7,0.23,0.24,0.24,0.22,993,257,3.86,101.23%,0.427013,2021-11-26
AMZN,3504.56,Put,3510,2021-11-26,0,0.3,0.79,1.27,2.17,1764,457,3.86,0.00%,0,2021-11-26
AMC,37.63,Call,38,2021-12-03,7,1.76,1.79,1.82,1.8,3776,978,3.86,94.81%,0.496501,2021-11-26
AMZN,3504.56,Put,3535,2021-11-26,0,22.25,27.85,33.45,24,1912,496,3.85,17.69%,-0.825352,2021-11-26
SOFI,18.21,Put,17,2021-12-03,7,0.22,0.23,0.24,0.23,519,135,3.84,68.71%,-0.220538,2021-11-26
ABNB,173.86,Call,170,2021-11-26,0,3.45,3.8,4.15,3.75,563,147,3.83,41.71%,0.852468,2021-11-26
SDC,3.2,Call,4,2021-12-31,35,0.16,0.2,0.24,0.18,1859,485,3.83,108.19%,0.309147,2021-11-26
ABBV,116.51,Put,117,2021-12-03,7,1.62,1.73,1.84,1.72,1222,323,3.78,21.85%,-0.559255,2021-11-26
COIN,303.19,Put,300,2022-02-18,84,33.6,34.25,34.9,34.03,742,198,3.75,61.99%,-0.426557,2021-11-26
WFC,48.43,Call,48,2021-11-26,0,0.36,0.45,0.54,0.32,1633,435,3.75,14.54%,0.881811,2021-11-26
APT,6.41,Call,6,2021-12-17,21,0.66,0.78,0.9,0.76,1791,477,3.75,89.43%,0.661169,2021-11-26
GOLD,19.38,Call,10,2022-01-21,56,9.3,9.38,9.45,9.4,3000,800,3.75,86.02%,0.985754,2021-11-26
BABA,133.35,Put,90,2024-01-19,784,12.4,15.7,19,15.47,610,163,3.74,52.84%,-0.181551,2021-11-26
NVDA,315.03,Put,345,2021-12-03,7,29.9,30.88,31.85,30.55,958,256,3.74,43.69%,-0.929479,2021-11-26
GS,389.39,Call,422.5,2021-12-03,7,0.33,0.41,0.49,0.54,512,138,3.71,35.76%,0.051548,2021-11-26
AAL,17.75,Call,18.5,2021-12-10,14,0.55,0.57,0.58,0.53,1028,277,3.71,62.90%,0.39197,2021-11-26
PTON,46.41,Call,47,2021-12-03,7,1.78,1.82,1.85,1.82,1457,393,3.71,81.49%,0.477911,2021-11-26
AA,47.95,Put,43,2021-12-03,7,0.27,0.3,0.33,0.33,667,181,3.69,73.02%,-0.1299,2021-11-26
AMZN,3504.56,Put,3525,2021-12-03,7,67.65,71.95,76.25,70,720,195,3.69,30.51%,-0.54626,2021-11-26
UBER,40.52,Put,38,2021-12-03,7,0.38,0.4,0.41,0.39,882,239,3.69,58.70%,-0.203042,2021-11-26
AMZN,3504.56,Put,3525,2021-11-26,0,14,18,22,14,2398,649,3.69,10.88%,-0.847573,2021-11-26
UBER,40.52,Call,40,2021-12-03,7,1.44,1.48,1.53,1.49,650,177,3.67,54.50%,0.582812,2021-11-26
MRNA,329.63,Call,325,2021-12-03,7,18.55,20.55,22.55,21,1008,275,3.67,102.90%,0.567746,2021-11-26
AFRM,136.98,Call,137,2021-11-26,0,0.1,0.15,0.2,0.13,2038,556,3.67,4.92%,0.478064,2021-11-26
ZM,220.21,Call,260,2021-12-03,7,0.95,1.05,1.15,1.05,852,237,3.59,85.87%,0.090565,2021-11-26
SNAP,49.76,Put,54,2021-12-10,14,4.9,5,5.1,4.82,1100,306,3.59,56.34%,-0.753603,2021-11-26
AMZN,3504.56,Put,3505,2021-11-26,0,0.05,2.15,4.25,2.5,1637,457,3.58,3.13%,-0.529949,2021-11-26
BA,199.21,Call,202.5,2021-12-03,7,3.45,3.55,3.65,3.56,1231,346,3.56,45.37%,0.409404,2021-11-26
JD,88.67,Call,89,2021-11-26,0,0.02,0.04,0.05,0.1,1521,428,3.55,7.79%,0.180075,2021-11-26
AMC,37.63,Call,37,2021-12-03,7,2.18,2.24,2.29,2.24,1987,559,3.55,92.63%,0.577654,2021-11-26
DOW,57.6,Call,50,2021-12-17,21,7.5,7.6,7.7,7.65,771,218,3.54,37.78%,0.956273,2021-11-26
TSLA,1081.92,Call,1095,2021-12-03,7,37.2,37.7,38.2,38.62,1882,531,3.54,73.08%,0.472886,2021-11-26
DIS,148.11,Call,90,2023-01-20,420,60.25,61,61.75,61.6,604,171,3.53,41.29%,0.911903,2021-11-26
OXY,29.7,Put,26,2022-06-17,202,3.2,3.28,3.35,3.55,1500,425,3.53,59.93%,-0.300958,2021-11-26
ALL,115.12,Put,100,2022-01-21,56,0.95,1.03,1.1,0.9,2392,678,3.53,32.95%,-0.129901,2021-11-26
TLRY,10.57,Call,11,2021-12-03,7,0.26,0.27,0.28,0.27,3569,1017,3.51,76.05%,0.372251,2021-11-26
AAL,17.75,Put,15,2022-09-16,293,1.64,1.69,1.75,1.67,11983,3416,3.51,49.04%,-0.27278,2021-11-26
BA,199.21,Put,105,2023-03-17,475,3.7,4.25,4.8,4.29,574,164,3.5,47.15%,-0.07148,2021-11-26
QCOM,175.74,Call,175,2021-12-03,7,3.8,4.07,4.35,4.06,1736,496,3.5,38.21%,0.540539,2021-11-26
AFRM,136.98,Call,140,2021-12-03,7,4.3,4.5,4.7,4.5,2882,825,3.49,76.98%,0.439922,2021-11-26
AMD,154.81,Call,157.5,2021-12-03,7,3.3,3.35,3.4,3.5,7192,2062,3.49,52.97%,0.421527,2021-11-26
LVS,37.87,Put,35,2021-12-03,7,0.25,0.27,0.29,0.3,640,184,3.48,59.41%,-0.158823,2021-11-26
AAL,17.75,Call,17,2022-04-14,138,2.69,2.74,2.78,2.74,699,201,3.48,55.27%,0.617012,2021-11-26
ROKU,235.16,Call,230,2021-11-26,0,4.75,5.33,5.9,5.7,815,234,3.48,46.31%,0.82493,2021-11-26
AMD,154.81,Put,152.5,2021-12-03,7,3.4,3.47,3.55,3.35,6617,1909,3.47,53.47%,-0.405061,2021-11-26
BA,199.21,Call,195,2021-11-26,0,3.9,4.15,4.4,4.3,2437,704,3.46,27.95%,0.930357,2021-11-26
FB,333.12,Call,332.5,2021-12-03,7,7.55,7.7,7.85,7.87,636,185,3.44,40.16%,0.524553,2021-11-26
BNTX,348,Call,350,2021-11-26,0,0.1,1.8,3.5,0.5,1069,311,3.44,17.34%,0.263867,2021-11-26
AAPL,156.81,Put,157.5,2021-11-26,0,0.01,0.51,1.01,0.23,86987,25309,3.44,18.47%,-0.675054,2021-11-26
FB,333.12,Call,332.5,2021-11-26,0,0.61,0.84,1.06,1.15,1280,373,3.43,6.66%,0.705628,2021-11-26
BAC,45.76,Call,45,2021-12-03,7,1.2,1.23,1.25,1.23,1795,523,3.43,31.97%,0.653569,2021-11-26
AFRM,136.98,Call,132,2021-11-26,0,4.5,5.5,6.5,3.5,955,280,3.41,77.24%,0.827144,2021-11-26
MRK,79.16,Put,82,2021-11-26,0,2.63,2.79,2.95,2.2,968,284,3.41,52.83%,-0.898474,2021-11-26
SM,28.67,Call,45,2022-01-21,56,0.45,0.53,0.6,0.54,514,151,3.4,87.61%,0.126758,2021-11-26
DASH,187.92,Call,190,2021-12-03,7,5.85,6.1,6.35,5.91,531,156,3.4,66.11%,0.470381,2021-11-26
NKLA,10.46,Put,12,2021-12-03,7,1.6,1.66,1.72,1.76,1016,300,3.39,97.05%,-0.830158,2021-11-26
CCL,17.95,Put,18,2021-12-03,7,0.75,0.77,0.79,0.84,1623,479,3.39,75.04%,-0.489904,2021-11-26
CCL,17.95,Call,17.5,2022-06-17,202,3.25,3.35,3.45,3.3,3844,1133,3.39,58.74%,0.609444,2021-11-26
DNA,12.06,Put,17.5,2022-01-21,56,6.4,6.55,6.7,6.4,515,153,3.37,128.73%,-0.686549,2021-11-26
PING,23.56,Call,25,2021-12-17,21,0.75,0.83,0.9,0.85,1223,363,3.37,62.83%,0.375216,2021-11-26
ZNGA,6.44,Call,6.5,2021-12-10,14,0.22,0.29,0.36,0.27,622,185,3.36,59.18%,0.491294,2021-11-26
EOG,87.42,Call,125,2023-01-20,420,5,6.38,7.75,4.7,750,223,3.36,45.59%,0.297135,2021-11-26
ROKU,235.16,Call,235,2021-11-26,0,0.5,0.74,0.97,0.65,1738,517,3.36,11.62%,0.546227,2021-11-26
AMD,154.81,Put,149,2021-12-17,21,5.1,5.15,5.2,5.37,2136,636,3.36,53.10%,-0.357786,2021-11-26
STNE,16.34,Call,20,2021-12-17,21,0.35,0.45,0.55,0.4,2326,697,3.34,93.08%,0.213714,2021-11-26
NVDA,315.03,Call,420,2023-06-16,566,45,49,53,48.12,1127,338,3.33,50.97%,0.447452,2021-11-26
MARA,49.2,Put,48,2021-12-03,7,2.34,2.5,2.65,2.65,620,187,3.32,119.88%,-0.408329,2021-11-26
SQ,212.08,Put,195,2021-12-03,7,0.92,1.01,1.09,1.01,1615,486,3.32,54.22%,-0.123839,2021-11-26
RBLX,122.65,Put,123,2021-11-26,0,0.24,0.44,0.64,0.3,1122,339,3.31,17.41%,-0.621823,2021-11-26
EB,16.22,Put,15,2021-12-17,21,0.5,0.55,0.6,0.6,2064,624,3.31,74.09%,-0.298356,2021-11-26
AMC,37.63,Call,40,2021-12-03,7,1.08,1.11,1.14,1.13,5950,1805,3.3,98.32%,0.351804,2021-11-26
NOK,5.55,Call,5.5,2021-12-03,7,0.13,0.14,0.14,0.14,797,242,3.29,37.09%,0.580118,2021-11-26
PFE,54,Call,54,2021-12-03,7,1.16,1.22,1.28,1.26,7881,2398,3.29,42.70%,0.508487,2021-11-26
HOOD,27.92,Put,32.5,2021-12-03,7,4.7,4.93,5.15,4.8,969,295,3.28,92.23%,-0.869807,2021-11-26
NVDA,315.03,Put,315,2021-11-26,0,0.21,0.3,0.38,0.21,7803,2392,3.26,3.44%,-0.478271,2021-11-26
AMD,154.81,Call,240,2021-12-17,21,0.1,0.12,0.13,0.12,644,198,3.25,78.32%,0.012574,2021-11-26
BAC,45.76,Call,45,2021-12-10,14,1.47,1.51,1.55,1.53,583,180,3.24,31.73%,0.614971,2021-11-26
AMZN,3504.56,Call,3600,2021-12-03,7,28,28.88,29.75,28.8,4982,1544,3.23,33.53%,0.289356,2021-11-26
BA,199.21,Call,215,2021-12-03,7,0.69,0.72,0.75,0.74,1859,579,3.21,45.93%,0.121559,2021-11-26
DAL,36.38,Put,30,2022-02-18,84,1.01,1.1,1.18,1.05,537,168,3.2,52.39%,-0.185638,2021-11-26
JPM,161.93,Call,165,2021-12-03,7,1.26,1.33,1.39,1.34,1156,361,3.2,28.95%,0.32336,2021-11-26
PFE,54,Put,48,2021-12-23,27,0.21,0.24,0.27,0.23,1451,453,3.2,33.69%,-0.095318,2021-11-26
AAL,17.75,Call,20,2022-04-14,138,1.49,1.52,1.54,1.49,7988,2495,3.2,53.24%,0.420639,2021-11-26
AMD,154.81,Put,155,2021-11-26,0,0.26,0.31,0.36,0.24,16459,5139,3.2,6.26%,-0.646107,2021-11-26
AAL,17.75,Call,17,2022-09-16,293,3.35,3.43,3.5,3.35,523,164,3.19,47.94%,0.62443,2021-11-26
HL,5.58,Call,5.5,2021-12-03,7,0.22,0.24,0.26,0.22,745,235,3.17,57.97%,0.586715,2021-11-26
TSLA,1081.92,Put,1095,2021-11-26,0,10.45,12.25,14.05,10.35,7830,2468,3.17,22.25%,-0.849385,2021-11-26
SEAS,61.58,Call,70,2022-01-21,56,2.05,2.22,2.4,1.6,933,296,3.15,52.92%,0.303735,2021-11-26
NVDA,315.03,Put,285,2021-12-03,7,1.19,1.44,1.7,1.36,1150,365,3.15,59.75%,-0.105243,2021-11-26
GME,199.72,Call,205,2021-11-26,0,0.02,0.07,0.12,0.13,505,161,3.14,30.79%,0.052325,2021-11-26
DAL,36.38,Call,36,2021-12-17,21,1.98,2.02,2.06,2.04,1034,329,3.14,53.26%,0.558214,2021-11-26
SAVE,20.6,Call,20,2021-12-17,21,1.61,1.64,1.66,1.66,777,248,3.13,68.97%,0.60322,2021-11-26
DIDI,7.88,Call,8,2021-12-03,7,0.35,0.37,0.39,0.35,1504,482,3.12,92.88%,0.478831,2021-11-26
PFE,54,Call,55,2021-12-10,14,1.2,1.23,1.26,1.26,3339,1079,3.09,40.81%,0.419766,2021-11-26
BNTX,348,Call,365,2021-11-26,0,0.1,0.08,0.05,0.1,703,228,3.08,46.16%,0.024073,2021-11-26
COIN,303.19,Call,305,2021-11-26,0,0.05,0.1,0.15,0.15,868,283,3.07,11.43%,0.158944,2021-11-26
MGM,41.85,Call,45,2021-12-03,7,0.21,0.23,0.25,0.23,608,199,3.06,50.13%,0.156085,2021-11-26
TRTX,12.34,Call,12.5,2022-01-21,56,0.4,0.5,0.6,0.4,586,192,3.05,27.14%,0.440753,2021-11-26
BAC,45.76,Put,44.5,2021-12-03,7,0.42,0.44,0.46,0.45,1019,334,3.05,37.92%,-0.290377,2021-11-26
CBOE,128.88,Call,80,2022-01-21,56,47.7,49.3,50.9,50.8,10800,3567,3.03,99.65%,0.920741,2021-11-26
JNJ,159.2,Put,162.5,2021-12-03,7,3.7,3.9,4.1,3.95,511,169,3.02,19.95%,-0.771895,2021-11-26
BA,199.21,Put,197.5,2021-12-03,7,4.2,4.33,4.45,4.3,589,196,3.01,46.65%,-0.434089,2021-11-26
SWN,4.96,Put,5,2021-12-10,14,0.25,0.28,0.31,0.29,528,176,3,69.35%,-0.496435,2021-11-26
PXD,181.73,Call,2.5,2022-01-21,56,17.7,19.85,22,20.7,600,200,3,0.00%,0,2021-11-26
TSM,117.09,Put,105,2022-07-15,230,6.95,7.15,7.35,7.15,899,300,3,34.22%,-0.302617,2021-11-26
TSLA,1081.92,Call,1085,2021-12-03,7,42.25,42.95,43.65,43.17,802,268,2.99,74.69%,0.509723,2021-11-26
PFE,54,Put,50,2021-12-31,35,0.61,0.7,0.78,0.63,933,312,2.99,31.06%,-0.205591,2021-11-26
SYK,243.48,Put,250,2021-12-17,21,10.5,10.8,11.1,10.3,1685,563,2.99,29.58%,-0.634378,2021-11-26
AAL,17.75,Put,17.5,2021-12-10,14,0.77,0.79,0.8,0.8,1007,338,2.98,66.85%,-0.430926,2021-11-26
TSLA,1081.92,Put,1090,2021-12-03,7,47.1,48.13,49.15,47.15,3136,1051,2.98,71.70%,-0.510043,2021-11-26
AAL,17.75,Call,18,2021-12-17,21,0.91,0.93,0.94,0.94,2560,861,2.97,62.03%,0.492292,2021-11-26
TSLA,1081.92,Call,1100,2021-12-03,7,34.7,35.3,35.9,35.74,8264,2782,2.97,73.35%,0.45531,2021-11-26
BRK.B,283.09,Call,287.5,2021-12-03,7,0.93,1.34,1.75,1.01,595,201,2.96,16.82%,0.257352,2021-11-26
CRSP,78.79,Put,100,2023-01-20,420,34.5,36.7,38.9,37.35,1008,341,2.96,68.57%,-0.481698,2021-11-26
BAC,45.76,Call,45.5,2021-12-03,7,0.92,0.93,0.94,0.95,6369,2153,2.96,31.76%,0.557849,2021-11-26
HTZ,23.87,Call,30,2022-03-18,111,2.75,2.98,3.2,2.92,1293,438,2.95,93.28%,0.425883,2021-11-26
AMZN,3504.56,Put,3540,2021-11-26,0,24.25,31.68,39.1,31.03,2665,915,2.91,20.91%,-0.821321,2021-11-26
BAC,45.76,Put,45,2021-12-03,7,0.58,0.6,0.61,0.61,4662,1607,2.9,37.34%,-0.365448,2021-11-26
AMC,37.63,Call,37,2021-12-10,14,3.35,3.5,3.65,3.4,521,180,2.89,105.64%,0.573468,2021-11-26
AAL,17.75,Call,19,2021-12-10,14,0.4,0.41,0.42,0.42,1163,405,2.87,63.58%,0.31414,2021-11-26
MO,43.74,Call,45,2021-12-10,14,0.29,0.3,0.3,0.28,2209,769,2.87,23.18%,0.25433,2021-11-26
FIS,108.01,Put,95,2022-01-21,56,1.5,1.73,1.95,1.7,523,183,2.86,38.40%,-0.179539,2021-11-26
CCL,17.95,Call,17.5,2021-12-17,21,1.45,1.48,1.52,1.45,1206,422,2.86,71.51%,0.592536,2021-11-26
AAPL,156.81,Put,155,2021-12-23,27,3.7,4.05,4.4,4.3,5659,1980,2.86,30.35%,-0.429252,2021-11-26
ZNGA,6.44,Put,6.5,2021-12-17,21,0.3,0.33,0.37,0.36,2152,761,2.83,53.22%,-0.503403,2021-11-26
MRNA,329.63,Call,450,2022-06-17,202,24.25,26.63,29,29,536,190,2.82,65.20%,0.345252,2021-11-26
LCID,51.72,Put,42,2021-12-03,7,0.37,0.39,0.41,0.39,668,238,2.81,120.11%,-0.090958,2021-11-26
NVDA,315.03,Put,317.5,2021-12-03,7,9.85,10.43,11,10.45,1427,511,2.79,52.46%,-0.528355,2021-11-26
PFE,54,Call,55,2021-12-03,7,0.85,0.87,0.89,0.86,17874,6418,2.78,43.53%,0.388686,2021-11-26
AFRM,136.98,Call,134,2021-11-26,0,2.6,3.3,4,2.8,1061,384,2.76,78.18%,0.712898,2021-11-26
TSLA,1081.92,Call,1105,2021-12-03,7,32.4,32.78,33.15,34.35,1160,421,2.76,71.77%,0.435427,2021-11-26
LI,32.4,Call,33,2021-12-03,7,1.51,1.53,1.55,1.55,2259,818,2.76,101.62%,0.476101,2021-11-26
CVX,114.51,Call,116,2021-12-23,27,3.05,3.15,3.25,3.15,591,215,2.75,31.98%,0.445262,2021-11-26
FCX,37.24,Put,37,2021-12-10,14,1.42,1.5,1.57,1.44,595,216,2.75,53.56%,-0.455456,2021-11-26
AFRM,136.98,Call,135,2021-12-03,7,6.8,6.9,7,7,1482,541,2.74,79.33%,0.574415,2021-11-26
XOM,61.25,Call,60,2021-11-26,0,1.22,1.29,1.35,1.34,837,307,2.73,38.57%,0.850197,2021-11-26
DIDI,7.88,Call,7.5,2021-11-26,0,0.37,0.41,0.45,0.34,2172,797,2.73,93.38%,0.851537,2021-11-26
SLQT,9.28,Put,10,2022-04-14,138,2.1,2.18,2.25,2.15,590,218,2.71,75.48%,-0.471551,2021-11-26
GPS,17.33,Call,18,2021-12-03,7,0.28,0.32,0.35,0.33,1461,539,2.71,62.54%,0.34453,2021-11-26
AMZN,3504.56,Put,3550,2021-12-03,7,81.9,86.58,91.25,84,2463,909,2.71,30.04%,-0.613587,2021-11-26
TSLA,1081.92,Call,1325,2021-12-03,7,1,1.11,1.21,1.09,558,207,2.7,73.83%,0.026742,2021-11-26
BMY,56.53,Put,57,2021-12-10,14,1.22,1.33,1.43,1.47,767,284,2.7,23.28%,-0.573316,2021-11-26
AAL,17.75,Put,16,2022-04-14,138,1.47,1.51,1.54,1.57,3192,1183,2.7,55.28%,-0.317061,2021-11-26
AMC,37.63,Call,48,2021-12-10,14,0.99,1.02,1.05,1.02,608,226,2.69,132.15%,0.208665,2021-11-26
AMD,154.81,Put,143,2021-12-03,7,0.93,0.95,0.97,0.92,1725,642,2.69,56.64%,-0.146574,2021-11-26
OXY,29.7,Call,29,2021-12-03,7,1.42,1.44,1.47,1.42,1934,719,2.69,63.71%,0.623391,2021-11-26
ATVI,60.62,Call,57.5,2022-01-21,56,5.5,5.63,5.75,6,731,273,2.68,42.34%,0.653833,2021-11-26
AMD,154.81,Call,155,2021-11-26,0,0.09,0.12,0.15,0.12,31853,11904,2.68,6.25%,0.35372,2021-11-26
